CustomerID,Recency,Frequency,Monetary,AvgBasketValue,AvgItemsPerBasket,UniqueProducts,CancellationRate,CustomerLifespanDays
12346,113,1.0,97.91,97.91,21.0,2,0.0,0
12347,75,10.0,531.0,53.1,13.7,17,0.0,260
12348,23,6.0,396.85,66.14166666666667,12.666666666666666,7,0.0,335
12349,58,9.0,396.29,44.032222222222224,12.666666666666666,15,0.0,256
12350,22,16.0,774.23,48.389375,14.6875,27,0.0,303
12351,148,3.0,177.25,59.083333333333336,18.0,8,0.25,82
12352,14,34.0,13855.44,407.5129411764706,109.17647058823529,40,0.02857142857142857,303
12353,66,1.0,33.95,33.95,7.0,1,0.0,0
12354,163,1.0,83.00999999999999,83.00999999999999,21.0,2,0.0,0
12355,6,47.0,132953.59,2828.7997872340425,717.0851063829788,40,0.0,328
12356,269,1.0,112.64,112.64,21.0,3,0.0,0
12357,93,1.0,93.08,93.08,17.0,2,0.0,0
12358,98,1.0,34.78,34.78,10.0,3,0.0,0
12359,40,9.0,522.73,58.08111111111111,17.0,18,0.0,288
12360,102,1.0,120.98999999999998,120.98999999999998,18.0,3,0.0,0
12361,13,29.0,12514.45,431.53275862068966,101.24137931034483,40,0.09375,322
12362,200,1.0,13.3,13.3,7.0,1,0.0,0
12363,28,13.0,385.74,29.672307692307694,11.153846153846153,19,0.0,279
12364,8,27.0,9207.45,341.0166666666667,91.85185185185185,37,0.0,236
12365,83,4.0,330.22,82.555,16.5,9,0.2,224
12366,61,26.0,9043.84,347.84000000000003,79.73076923076923,37,0.0,259
12367,16,27.0,9996.86,370.2540740740741,90.85185185185185,40,0.0,299
12368,53,2.0,117.53999999999999,58.769999999999996,11.0,2,0.3333333333333333,30
12369,9,8.0,471.74,58.9675,14.875,16,0.0,271
12370,14,41.0,125034.07,3049.6114634146343,804.3170731707318,40,0.06818181818181818,335
12371,12,16.0,688.21,43.013125,13.3125,24,0.0,297
12372,106,3.0,225.98000000000002,75.32666666666667,11.333333333333334,4,0.0,209
12373,10,4.0,272.28999999999996,68.07249999999999,22.25,10,0.0,183
12374,15,13.0,616.21,47.400769230769235,14.076923076923077,23,0.0,304
12375,40,1.0,117.96000000000001,117.96000000000001,42.0,5,0.0,0
12376,79,3.0,227.7,75.89999999999999,26.333333333333332,11,0.0,286
12377,34,30.0,11127.87,370.92900000000003,105.83333333333333,40,0.03225806451612903,312
12378,143,8.0,555.11,69.38875,19.0,16,0.0,132
12379,98,10.0,604.89,60.489,12.1,18,0.0,154
12380,9,50.0,152271.85,3045.437,793.16,40,0.038461538461538464,337
12381,6,30.0,11898.5,396.6166666666667,104.1,40,0.0,292
12382,4,3.0,296.0,98.66666666666667,20.666666666666668,6,0.25,305
12383,90,8.0,523.1899999999999,65.39874999999999,16.875,17,0.0,169
12384,107,2.0,107.16,53.58,14.5,3,0.0,219
12385,66,10.0,507.54,50.754000000000005,12.0,16,0.0,259
12386,21,33.0,10549.22,319.6733333333333,87.42424242424242,40,0.0,343
12387,112,5.0,193.59,38.718,12.8,9,0.0,231
12388,7,4.0,174.5,43.625,15.5,12,0.2,230
12389,51,13.0,637.71,49.05461538461539,14.0,21,0.0,277
12390,58,1.0,58.19,58.19,22.0,4,0.0,0
12391,260,1.0,32.62,32.62,11.0,3,0.0,0
12392,22,4.0,215.18,53.795,16.25,9,0.0,295
12393,5,46.0,115730.31,2515.876304347826,691.1086956521739,40,0.02127659574468085,329
12394,15,9.0,484.18,53.79777777777778,14.88888888888889,20,0.1,225
12395,57,8.0,372.89,46.61125,11.75,9,0.0,276
12396,30,27.0,8711.35,322.6425925925926,85.5925925925926,40,0.03571428571428571,244
12397,276,1.0,11.06,11.06,7.0,1,0.0,0
12398,281,1.0,41.42,41.42,12.0,2,0.0,0
12399,12,13.0,875.48,67.34461538461538,18.307692307692307,24,0.0,190
12400,82,13.0,692.6,53.276923076923076,15.692307692307692,26,0.0,261
12401,20,51.0,137510.6,2696.286274509804,722.7058823529412,40,0.0,310
12402,100,3.0,169.45,56.48333333333333,15.333333333333334,6,0.0,184
12403,13,10.0,493.11,49.311,13.4,17,0.0,188
12404,61,10.0,615.28,61.528,17.5,23,0.0,146
12405,24,23.0,11026.11,479.39608695652174,122.73913043478261,40,0.0,313
12406,244,1.0,56.61,56.61,14.0,2,0.0,0
12407,116,3.0,173.35000000000002,57.78333333333334,12.333333333333334,6,0.0,202
12408,198,1.0,155.99,155.99,32.0,4,0.0,0
12409,64,4.0,224.48,56.12,19.5,12,0.0,263
12410,29,11.0,684.04,62.18545454545454,13.727272727272727,17,0.0,310
12411,37,5.0,372.17,74.434,17.0,11,0.0,186
12412,100,6.0,354.21,59.035,16.833333333333332,15,0.0,103
12413,8,4.0,79.28,19.82,7.0,6,0.0,313
12414,36,3.0,272.83,90.94333333333333,23.0,10,0.0,210
12415,310,1.0,65.98,65.98,26.0,4,0.0,0
12416,103,1.0,12.780000000000001,12.780000000000001,8.0,2,0.0,0
12417,56,1.0,101.59,101.59,16.0,2,0.0,0
12418,44,15.0,904.81,60.32066666666666,11.866666666666667,19,0.0625,218
12419,25,9.0,422.71999999999997,46.968888888888884,16.666666666666668,20,0.0,305
12420,8,16.0,709.6,44.35,13.0,20,0.0,320
12421,35,9.0,459.43,51.04777777777778,17.666666666666668,20,0.1,253
12422,4,20.0,5520.76,276.038,83.8,37,0.0,317
12423,113,4.0,335.32,83.83,17.5,9,0.0,229
